fiscal_year	system_name	times_more_likley_white_black	upper_bound_white_black	lower_bound_white_black	times_more_likley_white_minority	upper_bound_white_minority	lower_bound_white_minority
2011	Atlanta Public Schools	5.119719035	5.400593606	4.853452215	4.892954451	5.151269175	4.647593137
2011	Buford City	6.029132231	10.90534023	3.333269269	3.985964912	5.251335193	3.025500315
2011	Cherokee County	3.131782934	3.684688726	2.661843395	2.355905348	2.54447508	2.181310422
2011	Clayton County	2.101290718	2.439845979	1.809713694	1.894757904	2.194516878	1.635944363
2011	Cobb County	4.036679991	4.216476719	3.864550058	2.943955824	3.033494758	2.857059789
2011	Decatur City	4.417006248	5.66774796	3.442274486	2.999624588	3.592864347	2.504338267
2011	DeKalb County	5.154997934	5.335173067	4.980907529	4.862556021	5.019679952	4.710350318
2011	Douglas County	2.461617	2.638652222	2.296459611	2.261418353	2.404541364	2.126814304
2011	Fayette County	2.889444331	3.177844061	2.62721782	2.01611999	2.1454109	1.89462066
2011	Forsyth County	3.176946182	4.098765901	2.462445352	1.303948411	1.378093503	1.233792522
2011	Fulton County	4.536782093	4.721668841	4.359134969	2.609985572	2.68095407	2.540895707
2011	Gwinnett County	3.390854922	3.514412041	3.271641734	2.427868059	2.484800981	2.37223961
2011	Henry County	2.169481684	2.303897641	2.042907936	1.954872398	2.061688265	1.853590652
2011	Marietta City	6.991864548	8.279039265	5.904811935	6.158669248	7.013912148	5.407710577
2011	Rockdale County	2.751210218	3.049519446	2.482082111	2.626043416	2.888847432	2.387147188
