fiscal_year,gifted_black,black_total,gifted_minority,minority_total
2010,0.025568182,0.138528139,0.136363636,0.425907426
2011,0.032258065,0.129734848,0.143695015,0.415719697
2012,0.04,0.138596491,0.1425,0.423976608
2013,0.049180328,0.129689175,0.155737705,0.422561629
