fiscal_year	system_name	times_more_likley_white_black	upper_bound_white_black	lower_bound_white_black	times_more_likley_white_minority	upper_bound_white_minority	lower_bound_white_minority
2012	Atlanta Public Schools	5.477359101	5.765552958	5.203570748	5.135609628	5.392771987	4.890710438
2012	Buford City	5.186339523	8.478681426	3.172441125	3.838954149	4.924185691	2.99289464
2012	Cherokee County	2.984299123	3.499184058	2.545176564	2.348880016	2.53534705	2.176127064
2012	Clayton County	1.841872428	2.154072876	1.574920737	1.659136857	1.936124746	1.421775697
2012	Cobb County	3.874933725	4.042979738	3.713872527	2.83549977	2.919376787	2.754032636
2012	Decatur City	3.699672813	4.62460585	2.959728758	2.480140433	2.905267612	2.117222021
2012	DeKalb County	4.901313515	5.068906526	4.739261623	4.643715322	4.790111929	4.501792926
2012	Douglas County	2.522137484	2.696216256	2.359297952	2.342708904	2.48527439	2.208321557
2012	Fayette County	2.81265841	3.08968099	2.560473834	1.994736798	2.122827021	1.874375469
2012	Forsyth County	2.774183208	3.492585747	2.203551474	1.269410238	1.338189896	1.204165684
2012	Fulton County	4.199321328	4.362934416	4.041843846	2.453568953	2.517950124	2.390833937
2012	Gwinnett County	3.199239515	3.308653422	3.093443818	2.346883053	2.400075236	2.294869754
2012	Henry County	2.107147447	2.227652074	1.993161505	1.9035189	1.999858025	1.811820719
2012	Marietta City	5.925127337	7.030461411	4.993574662	5.438050562	6.219726071	4.754613559
2012	Rockdale County	2.411545497	2.66318609	2.18368206	2.348277813	2.57741117	2.139514545
